UNIDADE;UF;MÊS;ANO;TIPO;VALOR
100;PR;Janeiro;2025;Debito;-66504,02507
100;PR;Fevereiro;2025;Debito;-32360,64319
100;PR;Março;2025;Debito;-84807,2855
100;PR;Abril;2025;Debito;-24278,7182
100;PR;Maio;2025;Debito;-97369,60385
100;PR;Junho;2025;Debito;-49306,43865
100;PR;Julho;2025;Debito;-64043,25909
100;PR;Agosto;2025;Debito;-117507,6043
100;PR;Setembro;2025;Debito;-29975,30781
100;PR;Outubro;2025;Debito;-80251,57578
100;PR;Novembro;2025;Credito;
100;PR;Dezembro;2025;Credito;
108;SC;Janeiro;2025;Debito;-32314,06
108;SC;Fevereiro;2025;Debito;-54756,03
108;SC;Março;2025;Debito;-69324,63
108;SC;Abril;2025;Debito;-43296,16
108;SC;Maio;2025;Debito;-50758,43
108;SC;Junho;2025;Debito;-38069,43
108;SC;Julho;2025;Debito;-53182,6
108;SC;Agosto;2025;Debito;-76318,18
108;SC;Setembro;2025;Debito;-99281,43
108;SC;Outubro;2025;Debito;-67803,03
108;SC;Novembro;2025;Credito;
108;SC;Dezembro;2025;Credito;
116;SP;Janeiro;2025;Debito;-52060,11829
116;SP;Fevereiro;2025;Debito;-48621,30399
116;SP;Março;2025;Debito;-60955,03
116;SP;Abril;2025;Debito;-56422,3
116;SP;Maio;2025;Debito;-45153,19
116;SP;Junho;2025;Debito;-49498,36
116;SP;Julho;2025;Debito;-42272,83
116;SP;Agosto;2025;Debito;-49505,41
116;SP;Setembro;2025;Debito;-67004,99
116;SP;Outubro;2025;Credito;
116;SP;Novembro;2025;Credito;
116;SP;Dezembro;2025;Credito;
127;MS;Janeiro;2025;Credito;181,5
127;MS;Fevereiro;2025;Debito;-8244,26
127;MS;Março;2025;Debito;-98239,84
127;MS;Abril;2025;Debito;-75670
127;MS;Maio;2025;Debito;-55878,38
127;MS;Junho;2025;Debito;-20568,38
127;MS;Julho;2025;Debito;-36272,53
127;MS;Agosto;2025;Debito;-46535,55
127;MS;Setembro;2025;Debito;-29558,99
127;MS;Outubro;2025;Debito;-54321,68
127;MS;Novembro;2025;Credito;
127;MS;Dezembro;2025;Credito;
133;RJ;Janeiro;2025;Credito;5112,8
133;RJ;Fevereiro;2025;Credito;8860,09
133;RJ;Março;2025;Credito;9683,86
133;RJ;Abril;2025;Credito;9202,06
133;RJ;Maio;2025;Credito;6577,55
133;RJ;Junho;2025;Credito;1020,51
133;RJ;Julho;2025;Credito;3066,24
133;RJ;Agosto;2025;Credito;2654,43
133;RJ;Setembro;2025;Credito;1189
133;RJ;Outubro;2025;Credito;
133;RJ;Novembro;2025;Credito;
133;RJ;Dezembro;2025;Credito;
130;RSNSR;Janeiro;2025;Credito;
130;RSNSR;Fevereiro;2025;Credito;
130;RSNSR;Março;2025;Credito;
130;RSNSR;Abril;2025;Credito;
130;RSNSR;Maio;2025;Credito;
130;RSNSR;Junho;2025;Credito;
130;RSNSR;Julho;2025;Credito;
130;RSNSR;Agosto;2025;Credito;
130;RSNSR;Setembro;2025;Credito;
130;RSNSR;Outubro;2025;Credito;
130;RSNSR;Novembro;2025;Credito;
130;RSNSR;Dezembro;2025;Credito;
137;RSURU;Janeiro;2025;Credito;1701,140581
137;RSURU;Fevereiro;2025;Debito;-7052,261097
137;RSURU;Março;2025;Credito;7643,9185
137;RSURU;Abril;2025;Credito;8290,767934
137;RSURU;Maio;2025;Credito;4361,741549
137;RSURU;Junho;2025;Debito;-22536,67
137;RSURU;Julho;2025;Credito;430,08
137;RSURU;Agosto;2025;Credito;5170,511304
137;RSURU;Setembro;2025;Debito;-2307,96553
137;RSURU;Outubro;2025;Debito;-4152,634174
137;RSURU;Novembro;2025;Credito;
137;RSURU;Dezembro;2025;Credito;
100;PR;Saldo Inicial;2025;Credito;0
108;SC;Saldo Inicial;2025;Credito;0
116;SP;Saldo Inicial;2025;Credito;0
127;MS;Saldo Inicial;2025;Credito;0
133;RJ;Saldo Inicial;2025;Credito;330000
130;RSNSR;Saldo Inicial;2025;Credito;0
137;RSURU;Saldo Inicial;2025;Credito;0
100;PR;Janeiro;2024;Debito;-19138,65506
100;PR;Fevereiro;2024;Debito;-41927,43676
100;PR;Março;2024;Debito;-105361,2264
100;PR;Abril;2024;Debito;-131767,7427
100;PR;Maio;2024;Debito;-58243,5484
100;PR;Junho;2024;Debito;-73416,44655
100;PR;Julho;2024;Debito;-105526,5652
100;PR;Agosto;2024;Debito;-33849,56335
100;PR;Setembro;2024;Debito;-62847,47167
100;PR;Outubro;2024;Debito;-115984,1776
100;PR;Novembro;2024;Debito;-57874,52
100;PR;Dezembro;2024;Debito;-62774,66851
108;SC;Janeiro;2024;Debito;-57407,11
108;SC;Fevereiro;2024;Debito;-32115,54
108;SC;Março;2024;Debito;-72452,8
108;SC;Abril;2024;Debito;-37129,26
108;SC;Maio;2024;Debito;-42068,41
108;SC;Junho;2024;Debito;-49209,11
108;SC;Julho;2024;Debito;-61505,9
108;SC;Agosto;2024;Debito;-63901,04
108;SC;Setembro;2024;Debito;-55381,49
